epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.917,1.37594,1.59527,1.26415,0.20522,0.48828,0.11249,0.063,1.59259,9.14416,1.725,0.000475243,0.000475243,0.000475243
2,217.243,1.39345,1.16781,1.32828,0.50188,0.45466,0.37444,0.21782,1.48961,3.06627,1.53062,0.00094404,0.00094404,0.00094404
3,319.045,1.36915,1.06399,1.31436,0.59542,0.55783,0.48967,0.28765,1.44664,3.497,1.50394,0.00140529,0.00140529,0.00140529
4,420.537,1.31721,0.97543,1.28299,0.58949,0.50475,0.50251,0.32081,1.34673,2.78981,1.44233,0.00139505,0.00139505,0.00139505
5,523.397,1.2885,0.9131,1.27188,0.70281,0.67878,0.69246,0.43269,1.30078,1.27054,1.37543,0.00138373,0.00138373,0.00138373
6,625.195,1.26152,0.84384,1.25259,0.68302,0.58695,0.6114,0.40541,1.21378,1.32454,1.35893,0.00137241,0.00137241,0.00137241
7,726.897,1.24554,0.82423,1.2473,0.83209,0.64186,0.75769,0.4993,1.23322,1.04678,1.3649,0.00136109,0.00136109,0.00136109
8,828.355,1.22359,0.78639,1.2359,0.66718,0.59192,0.6183,0.39351,1.28419,1.54477,1.37394,0.00134978,0.00134978,0.00134978
9,930.532,1.21289,0.76264,1.22877,0.66456,0.69578,0.73131,0.47904,1.23297,1.1231,1.35448,0.00133846,0.00133846,0.00133846
10,1033.51,1.20283,0.74005,1.22347,0.84837,0.71212,0.80794,0.49067,1.3035,1.0276,1.35541,0.00132714,0.00132714,0.00132714
11,1136.27,1.18937,0.70527,1.20512,0.86539,0.71799,0.82661,0.54926,1.20011,0.97938,1.34642,0.00131582,0.00131582,0.00131582
12,1238.57,1.17797,0.70527,1.21505,0.82759,0.69124,0.80676,0.52786,1.22607,1.00326,1.35188,0.00130451,0.00130451,0.00130451
13,1341.23,1.17601,0.69243,1.20472,0.80624,0.76432,0.82767,0.52735,1.22706,0.88489,1.32974,0.00129319,0.00129319,0.00129319
14,1443.7,1.16248,0.68309,1.19506,0.81788,0.71677,0.81565,0.54838,1.18177,0.90221,1.32026,0.00128187,0.00128187,0.00128187
15,1545.97,1.16409,0.66493,1.20434,0.9107,0.72317,0.83864,0.53811,1.2078,0.89652,1.35853,0.00127055,0.00127055,0.00127055
16,1648.37,1.15006,0.65644,1.18817,0.83624,0.72956,0.81144,0.52158,1.1941,1.00674,1.32571,0.00125923,0.00125923,0.00125923
17,1750.79,1.14991,0.66098,1.18749,0.84038,0.78343,0.86469,0.56592,1.1619,0.79814,1.29162,0.00124792,0.00124792,0.00124792
18,1852.49,1.12914,0.64005,1.17868,0.85287,0.77585,0.83171,0.54735,1.16222,0.90043,1.29655,0.0012366,0.0012366,0.0012366
19,1953.1,1.14235,0.64353,1.18816,0.81731,0.80049,0.82281,0.52288,1.23148,0.89184,1.34168,0.00122528,0.00122528,0.00122528
20,2054.69,1.14262,0.64492,1.18581,0.8946,0.807,0.88225,0.57556,1.18139,0.75617,1.285,0.00121396,0.00121396,0.00121396
21,2156.08,1.12906,0.62272,1.17441,0.81989,0.8073,0.87047,0.57917,1.15439,0.80969,1.27861,0.00120265,0.00120265,0.00120265
